Channel_SKU,Master_SKU,SKU_Name,Channel
THEFA00000135,30100572,The Face Shop Power Long-Lasting Spf 50+ Pa+++ Tinted Suncream For Broad Spectrum Protection(50 ML),Nykaa
THEFA00000136,30100564,The Face Shop The Face Shop Vegan Hand Cream - Sunrise Bedroom With Hyaluronic Acid(30ml),Nykaa
THEFA00000137,30100565,The Face Shop The Face Shop Non-Greasy Vegan Hand Cream - Morning Florist With Hyaluronic Acid(30ml),Nykaa
THEFA00000138,30100566,The Face Shop The Face Shop Non-Greasy Vegan Hand Cream - Noon Park With Hyaluronic Acid(30ml),Nykaa
THEFA00000139,30100567,The Face Shop The Face Shop Non-Greasy Vegan Hand Cream - Sunset Rooftop With Hyaluronic Acid (30ml),Nykaa
THEFA00000140,30100568,The Face Shop The Face Shop Vegan Hand Cream - Midnight Street With Hyaluronic Acid(30ml),Nykaa
THEFA00000141,30100576,"The Face Shop The Face Shop All Clear Micellar All-In-One Face Wash With Hyaluronic Acid, Aha & Pha(150ml)",Nykaa
THEFA00000142,30100577,Free The Face Shop The Therapy Vegan Trial Kit(62ml),Nykaa
THEFA00000152,30100577,"The Face Shop The Therapy Vegan Skincare Kit, Limited Edition Luxury Skin Routine Gift Set (62 ML)",Nykaa
THEFA00000153,30100580,The Face Shop Rice Water Bright Trial Kit,Nykaa
SIXAM00000001,20100001,SIXAM Glow Double Duty Cleanser(100ml),Nykaa
SIXAM00000003,20100002,SIXAM Glow Alt. Command. Slay. Exfoliator(115 g),Nykaa
SIXAM00000004,GLWCOM000001,SIXAM Glow Get.Set.Glow Starter Kit(300 g),Nykaa
SIXAM00000006,20100003,SIXAM Glow Go-To-Bed Sleeping Mask(50 g),Nykaa
SIXAM00000007,20100006,SIXAM Glow Pivot The Pores Exfoliator(100ml),Nykaa
SIXAM00000008,20100007,SIXAM Glow Chief Glow Officer Serum-N-Cream With SPF 20 PA ++++(30ml),Nykaa
SIXAM00000009,20100008,SIXAM Glow Chief Glow Officer Serum-N-Cream (Mini)(15ml),Nykaa
SIXAM00000010,20100005,SIXAM Glow Double Duty Cleanser (Mini)(21ml),Nykaa
SIXAM00000011,20100004,SIXAM Glow Go-To-Bed Sleeping Mask (Mini)(15ml),Nykaa
SIXAM00000012,20100008,Free SIXAM Glow Chief Glow Officer Serum-N-Cream (Mini)(15ml),Nykaa
SIXAM00000013,20100005,Free SIXAM Glow Double Duty Cleanser (Mini)(21ml),Nykaa
SIXAM00000014,20100004,Free SIXAM Glow Go-To-Bed Sleeping Mask (Mini)(15ml),Nykaa
SIXAM00000015,20100009,SIXAM Glow Win Win Face Serum + Oil(50ml),Nykaa
DHCBE00000001,70100001,DHC Beauty Deep Cleansing Oil(30ml),Nykaa
